Indicator;Year;Region;Zone;Percentage;Real
Population covered by a mobile-cellular network (%);2015; World ;Rural;88,9;
Population covered by a mobile-cellular network (%);2015; Low-income ;Rural;67,1;
Population covered by a mobile-cellular network (%);2015; Lower-middle-income ;Rural;90,1;
Population covered by a mobile-cellular network (%);2015; Upper-middle-income ;Rural;91,2;
Population covered by a mobile-cellular network (%);2015; High-income ;Rural;92,4;
Population covered by a mobile-cellular network (%);2015; Least Developed Countries (LDCs) ;Rural;80;
Population covered by a mobile-cellular network (%);2015; Land Locked Developing Countries (LLDCs) ;Rural;83,7;
Population covered by a mobile-cellular network (%);2015; Small Island Developing States (SIDS) ;Rural;74,2;
Population covered by a mobile-cellular network (%);2016; World ;Rural;89,8;
Population covered by a mobile-cellular network (%);2016; Low-income ;Rural;71,5;
Population covered by a mobile-cellular network (%);2016; Lower-middle-income ;Rural;91,1;
Population covered by a mobile-cellular network (%);2016; Upper-middle-income ;Rural;91,8;
Population covered by a mobile-cellular network (%);2016; High-income ;Rural;92,8;
Population covered by a mobile-cellular network (%);2016; Least Developed Countries (LDCs) ;Rural;81;
Population covered by a mobile-cellular network (%);2016; Land Locked Developing Countries (LLDCs) ;Rural;87;
Population covered by a mobile-cellular network (%);2016; Small Island Developing States (SIDS) ;Rural;68,7;
Population covered by a mobile-cellular network (%);2017; World ;Rural;91,3;
Population covered by a mobile-cellular network (%);2017; Low-income ;Rural;72;
Population covered by a mobile-cellular network (%);2017; Lower-middle-income ;Rural;92,4;
Population covered by a mobile-cellular network (%);2017; Upper-middle-income ;Rural;95;
Population covered by a mobile-cellular network (%);2017; High-income ;Rural;93,4;
Population covered by a mobile-cellular network (%);2017; Least Developed Countries (LDCs) ;Rural;80,8;
Population covered by a mobile-cellular network (%);2017; Land Locked Developing Countries (LLDCs) ;Rural;87,2;
Population covered by a mobile-cellular network (%);2017; Small Island Developing States (SIDS) ;Rural;71,2;
Population covered by a mobile-cellular network (%);2018; World ;Rural;91,8;
Population covered by a mobile-cellular network (%);2018; Low-income ;Rural;75,3;
Population covered by a mobile-cellular network (%);2018; Lower-middle-income ;Rural;92,3;
Population covered by a mobile-cellular network (%);2018; Upper-middle-income ;Rural;95,6;
Population covered by a mobile-cellular network (%);2018; High-income ;Rural;93,6;
Population covered by a mobile-cellular network (%);2018; Least Developed Countries (LDCs) ;Rural;81,8;
Population covered by a mobile-cellular network (%);2018; Land Locked Developing Countries (LLDCs) ;Rural;89;
Population covered by a mobile-cellular network (%);2018; Small Island Developing States (SIDS) ;Rural;71,7;
Population covered by a mobile-cellular network (%);2019; World ;Rural;92,9;
Population covered by a mobile-cellular network (%);2019; Low-income ;Rural;76,7;
Population covered by a mobile-cellular network (%);2019; Lower-middle-income ;Rural;93,6;
Population covered by a mobile-cellular network (%);2019; Upper-middle-income ;Rural;95;
Population covered by a mobile-cellular network (%);2019; High-income ;Rural;98;
Population covered by a mobile-cellular network (%);2019; Least Developed Countries (LDCs) ;Rural;82,4;
Population covered by a mobile-cellular network (%);2019; Land Locked Developing Countries (LLDCs) ;Rural;89,9;
Population covered by a mobile-cellular network (%);2019; Small Island Developing States (SIDS) ;Rural;72,1;
Population covered by a mobile-cellular network (%);2020; World ;Rural;93,2;
Population covered by a mobile-cellular network (%);2020; Low-income ;Rural;81,9;
Population covered by a mobile-cellular network (%);2020; Lower-middle-income ;Rural;94,4;
Population covered by a mobile-cellular network (%);2020; Upper-middle-income ;Rural;94,9;
Population covered by a mobile-cellular network (%);2020; High-income ;Rural;98,4;
Population covered by a mobile-cellular network (%);2020; Least Developed Countries (LDCs) ;Rural;85,9;
Population covered by a mobile-cellular network (%);2020; Land Locked Developing Countries (LLDCs) ;Rural;90,8;
Population covered by a mobile-cellular network (%);2020; Small Island Developing States (SIDS) ;Rural;76,5;
Population covered by a mobile-cellular network (%);2021; World ;Rural;93,8;
Population covered by a mobile-cellular network (%);2021; Low-income ;Rural;83,5;
Population covered by a mobile-cellular network (%);2021; Lower-middle-income ;Rural;95,1;
Population covered by a mobile-cellular network (%);2021; Upper-middle-income ;Rural;94,9;
Population covered by a mobile-cellular network (%);2021; High-income ;Rural;98,6;
Population covered by a mobile-cellular network (%);2021; Least Developed Countries (LDCs) ;Rural;87,6;
Population covered by a mobile-cellular network (%);2021; Land Locked Developing Countries (LLDCs) ;Rural;91,7;
Population covered by a mobile-cellular network (%);2021; Small Island Developing States (SIDS) ;Rural;77;
Population covered by a mobile-cellular network (%);2022; World ;Rural;94,3;
Population covered by a mobile-cellular network (%);2022; Low-income ;Rural;84,7;
Population covered by a mobile-cellular network (%);2022; Lower-middle-income ;Rural;95,5;
Population covered by a mobile-cellular network (%);2022; Upper-middle-income ;Rural;95,8;
Population covered by a mobile-cellular network (%);2022; High-income ;Rural;98,1;
Population covered by a mobile-cellular network (%);2022; Least Developed Countries (LDCs) ;Rural;88,5;
Population covered by a mobile-cellular network (%);2022; Land Locked Developing Countries (LLDCs) ;Rural;93,2;
Population covered by a mobile-cellular network (%);2022; Small Island Developing States (SIDS) ;Rural;77;
Population covered by a mobile-cellular network (%);2023; World ;Rural;94,7;
Population covered by a mobile-cellular network (%);2023; Low-income ;Rural;85,4;
Population covered by a mobile-cellular network (%);2023; Lower-middle-income ;Rural;96;
Population covered by a mobile-cellular network (%);2023; Upper-middle-income ;Rural;96,1;
Population covered by a mobile-cellular network (%);2023; High-income ;Rural;98;
Population covered by a mobile-cellular network (%);2023; Least Developed Countries (LDCs) ;Rural;89,3;
Population covered by a mobile-cellular network (%);2023; Land Locked Developing Countries (LLDCs) ;Rural;93,9;
Population covered by a mobile-cellular network (%);2023; Small Island Developing States (SIDS) ;Rural;77,4;
Population covered by a mobile-cellular network (%);2024; World ;Rural;95;
Population covered by a mobile-cellular network (%);2024; Low-income ;Rural;86,1;
Population covered by a mobile-cellular network (%);2024; Lower-middle-income ;Rural;96,2;
Population covered by a mobile-cellular network (%);2024; Upper-middle-income ;Rural;96,5;
Population covered by a mobile-cellular network (%);2024; High-income ;Rural;98;
Population covered by a mobile-cellular network (%);2024; Least Developed Countries (LDCs) ;Rural;89,9;
Population covered by a mobile-cellular network (%);2024; Land Locked Developing Countries (LLDCs) ;Rural;94,3;
Population covered by a mobile-cellular network (%);2024; Small Island Developing States (SIDS) ;Rural;77,6;
Population covered by a mobile-cellular network (%);2015;Africa;Rural;78,5;
Population covered by a mobile-cellular network (%);2015;Americas;Rural;78,2;
Population covered by a mobile-cellular network (%);2015;Arab States;Rural;85,4;
Population covered by a mobile-cellular network (%);2015;Asia-Pacific;Rural;92,7;
